Genoma,Pais,Fecha
LC528232,Japan,2020-02-10
LC528233,Japan,2020-02-10
LC529905,Japan,2020-01
LC534418,Japan,2020-02-14
LC534419,Japan,2020-03-09
LR757995,China:Wuhan,2019-12-26
LR757996,China:Wuhan,2020-01-01
LR757998,China:Wuhan,2019-12-26
MN908947,China,2019-12
MN938384,China: Shenzhen,2020-01-10
MN975262,China,2020-01-11
MN985325,USA,2020-01-19
MN988668,China,2020-01-02
MN988669,China,2020-01-02
MN988713,USA: Illinois,2020-01-21
MN994467,USA: CA,2020-01-23
MN994468,USA: CA,2020-01-22
MN996527,China: Wuhan,2019-12-30
MN996529,China: Wuhan,2019-12-30
MN996530,China: Wuhan,2019-12-30
MN996531,China: Wuhan,2019-12-30
MN997409,USA: AZ,2020-01-22
MZ359830,Iran,2020-04-28
MZ359831,India,2021-04-10
MZ359832,India,2021-04-10
MZ359833,India,2021-04-10
MZ359834,India,2021-04-10
MZ359835,India,2021-04-06
MZ359839,India,2021-04-07
MZ373337,USA,2021-03-15
MZ373338,USA,2021-03-15
MZ373339,USA,2021-04-05
MZ373340,USA,2021-03-15
MZ373341,USA,2021-03-15
MZ373342,USA,2021-03-26
MZ373343,USA,2021-03-18
MZ373344,USA,2020-08-20
MZ373345,USA,2020-08-16
MZ373346,USA,2021-01-16
MZ373347,USA,2021-01-16
MZ373348,USA,2020-06-16
MZ373349,USA,2020-08-15
MZ373350,USA,2021-03-12
